iter	Passed	Remaining
0	0	94
1	1	86
2	2	79
3	2	71
4	3	69
5	4	67
6	4	66
7	5	64
8	6	63
9	6	62
10	7	61
11	8	60
12	8	59
13	9	58
14	10	57
15	10	56
16	11	55
17	12	55
18	13	55
19	13	55
20	14	55
21	15	55
22	16	55
23	17	56
24	18	56
25	19	56
26	20	56
27	21	55
28	22	55
29	23	54
30	24	54
31	25	53
32	26	53
33	27	52
34	27	51
35	28	51
36	29	50
37	30	49
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	35
56	45	34
57	46	33
58	46	32
59	47	31
60	48	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	65	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	73	6
92	74	5
93	74	4
94	75	3
95	76	3
96	77	2
97	77	1
98	78	0
99	79	0
